t1,t2,t3,eval_distortion,blur_sigma,noise_sigma,policy_acc,exit1_acc,exit2_acc,exit3_acc,exit4_acc,avg_exit,avg_depth_cost_ratio,exit1_count,exit2_count,exit3_count,exit4_count,lat_full_ms,lat_early_ms,speedup_x,latency_samples,exit_indices
0.99,0.97,0.95,none,,,0.8281681497391838,0.4427738570113532,0.7272169377109543,0.8287818349186867,0.8287818349186867,3.4571954587296716,0.9382923402399831,86,341,829,2003,15.26400033333317,15.78412733333322,0.9670474655319312,300,"7,12,17"
0.95,0.9,0.85,none,,,0.8281681497391838,0.4427738570113532,0.7272169377109543,0.8287818349186867,0.8287818349186867,3.097882786130715,0.882430839295231,207,671,977,1404,15.253699999999881,14.95248600000013,1.0201447438238531,300,"7,12,17"
0.9,0.85,0.8,none,,,0.8278613071494323,0.4427738570113532,0.7272169377109543,0.8287818349186867,0.8287818349186867,2.967167842896594,0.8573343453755592,287,793,919,1260,15.211785000001187,14.374845666667351,1.0582224917568712,300,"7,12,17"
0.8,0.75,0.7,none,,,0.8272476219699294,0.4427738570113532,0.7272169377109543,0.8287818349186867,0.8287818349186867,2.7938017796870205,0.8250189757917347,378,970,857,1054,15.0841440000003,13.711200000000948,1.1001330299316805,300,"7,12,17"
0.7,0.6,0.5,none,,,0.8217244553544032,0.4427738570113532,0.7272169377109543,0.8287818349186867,0.8287818349186867,2.5602945688861616,0.7841120136948692,461,1247,815,736,15.162483666666873,13.124471000000142,1.1552834142165964,300,"7,12,17"
