t1,t2,t3,eval_distortion,blur_sigma,noise_sigma,policy_acc,exit1_acc,exit2_acc,exit3_acc,exit4_acc,avg_exit,avg_depth_cost_ratio,exit1_count,exit2_count,exit3_count,exit4_count,lat_full_ms,lat_early_ms,speedup_x,latency_samples,exit_indices
0.99,0.97,0.95,noise,,10.0,0.700214789812826,0.1537281374654802,0.4651733660632096,0.6983737342743173,0.700214789812826,3.814973918379871,0.9858044928214984,0,69,465,2725,4.781315666666638,5.403299000000187,0.8848882260016468,300,"7,12,17"
0.95,0.9,0.85,noise,,10.0,0.6999079472230746,0.15188708192697145,0.46762810678122124,0.6999079472230746,0.700214789812826,3.6299478367597424,0.9664411104471826,6,206,776,2271,4.869685333333441,5.449353999999941,0.893626168043679,300,"7,12,17"
0.9,0.85,0.8,noise,,10.0,0.7029763731205891,0.1552623504142375,0.46824179196072413,0.69683952132556,0.7042037434795949,3.553237189321878,0.9569774389948482,14,274,866,2105,4.9153219999999935,5.4260293333333705,0.9058782579379028,300,"7,12,17"
0.8,0.75,0.7,noise,,10.0,0.6996011046333231,0.15587603559374041,0.46302546793494936,0.6980668916845658,0.7023626879410863,3.42313593126726,0.9400526477285573,28,402,992,1837,4.8908879999999995,5.273165666666652,0.9275050907117994,300,"7,12,17"
0.7,0.6,0.5,noise,,10.0,0.6937710954280454,0.1537281374654802,0.4651733660632096,0.6916231972997852,0.703590058300092,3.1960724148511814,0.9082056168343534,48,670,1136,1405,5.107691666666341,5.314855999999679,0.9610216469960144,300,"7,12,17"
