t1,t2,t3,eval_distortion,blur_sigma,noise_sigma,policy_acc,exit1_acc,exit2_acc,exit3_acc,exit4_acc,avg_exit,avg_depth_cost_ratio,exit1_count,exit2_count,exit3_count,exit4_count,lat_full_ms,lat_early_ms,speedup_x,latency_samples,exit_indices
0.99,0.97,0.95,blur,2.0,,0.5108929119361767,0.104633323105247,0.2549861920834612,0.501687634243633,0.5108929119361767,3.899355630561522,0.9934109591253372,0,20,288,2951,15.602763000000031,17.251269333333354,0.9044414470911983,300,"7,12,17"
0.95,0.9,0.85,blur,2.0,,0.5105860693464253,0.104633323105247,0.2549861920834612,0.501687634243633,0.5108929119361767,3.77692543725069,0.9833497521034867,4,68,579,2608,4.899911666666886,5.705340333333264,0.8588289883496191,300,"7,12,17"
0.9,0.85,0.8,blur,2.0,,0.5099723841669224,0.104633323105247,0.2549861920834612,0.501687634243633,0.5108929119361767,3.7232279840441853,0.9770998530385492,13,103,657,2486,4.8585743333336024,5.5431013333335475,0.8765083012494236,300,"7,12,17"
0.8,0.75,0.7,blur,2.0,,0.5078244860386621,0.104633323105247,0.2549861920834612,0.501687634243633,0.5108929119361767,3.62104940165695,0.9645516060787132,29,182,784,2264,4.985323999999925,5.700459999999907,0.8745476680829277,300,"7,12,17"
0.7,0.6,0.5,blur,2.0,,0.5013807916538816,0.104633323105247,0.2549861920834612,0.501687634243633,0.5108929119361767,3.420988033139,0.9416837583372362,56,319,1081,1803,5.0085033333328015,5.553018333333503,0.901942517147458,300,"7,12,17"
