tag,epoch,exit_indices,train_loss,val_loss,val_policy_acc,val_exit1_acc,val_exit2_acc,val_exit3_acc,val_exit4_acc,val_avg_exit,val_avg_depth_cost_ratio,lr_backbone,lr_heads
main,1,"3,6,13",4.034566980604024,3.5125005474534743,0.7030037124535943,0.06986162672966588,0.10091123860951738,0.295308808639892,0.7026662166722916,3.9591630104623694,0.9892534238058867,0.00014985200463212036,0.0009990133642141358
main,2,"3,6,13",3.355253059003156,3.2129147716603326,0.7178535268309146,0.09078636517043537,0.13837327033412083,0.45595680053999327,0.7181910226122173,3.9254134323320957,0.9803719558768673,0.00014940860259858585,0.000996057350657239
main,3,"3,6,13",3.0734295502436413,3.0168807968431897,0.7495781302733716,0.10968612892338846,0.1849476881538981,0.5342558218022275,0.7499156260546743,3.8862639217009787,0.969678668490328,0.00014867154380465166,0.0009911436253643444
main,4,"3,6,13",2.905180324412086,2.9084427010719334,0.7627404657441782,0.11947350658116773,0.21768477894026325,0.5710428619642255,0.7627404657441782,3.8548768140398244,0.9608860152405989,0.00014764373708464731,0.0009842915805643156
main,5,"3,6,13",2.781369984802565,2.837729792075104,0.7647654404319946,0.13196085048936887,0.2372595342558218,0.6054674316571043,0.7647654404319946,3.828889638879514,0.9534433451160809,0.00014632923872213652,0.0009755282581475769
main,6,"3,6,13",2.684271921533675,2.763975149145651,0.7664529193385082,0.14546068174147822,0.25143435707053663,0.6409044886938913,0.7664529193385082,3.8025649679379008,0.9463026449011491,0.00014473323644161886,0.0009648882429441258
main,7,"3,6,13",2.6085869777586366,2.7336870212632176,0.7583530205872426,0.14647316908538643,0.2591967600404995,0.6517043536955788,0.7580155248059399,3.757678029024637,0.9334600422757874,0.0001428620289349515,0.0009524135262330099
main,8,"3,6,13",2.5463752686745176,2.701551469604268,0.7698278771515356,0.1491731353358083,0.27877151535605804,0.6655416807289909,0.7694903813702328,3.7543030712116097,0.9321100591505764,0.00014072300100328978,0.0009381533400219318
main,9,"3,6,13",2.4824209277982323,2.656065065998344,0.7836652041849477,0.16064799190010126,0.2882213972325346,0.6766790415119811,0.7826527168410395,3.7013162335470806,0.9169938007353856,0.00013832459441265115,0.0009221639627510075
main,10,"3,6,13",2.44195524698304,2.6202856266051984,0.7850151873101586,0.16604792440094499,0.30104623692203847,0.6949038137023287,0.785690178872764,3.6851164360445496,0.9124820150274437,0.00013567627457812108,0.0009045084971874736
main,11,"3,6,13",2.398734351418804,2.6236190221376448,0.7748903138710767,0.17178535268309147,0.3000337495781303,0.6976037799527506,0.7742153223084711,3.675666554168073,0.9098531005204539,0.0001327884932081842,0.0008852566213878945
main,12,"3,6,13",2.365918171999761,2.587583645871472,0.7823152210597367,0.16233547080661492,0.30374620317246037,0.7073911576105298,0.783327708403645,3.6560917988525143,0.9043821162761781,0.00012967264705660586,0.0008644843137107056
main,13,"3,6,13",2.3304885989602333,2.5662936378161003,0.7799527505906176,0.181235234559568,0.327033412082349,0.7121160985487681,0.7799527505906176,3.6469794127573407,0.902517008011084,0.00012634103294465165,0.0008422735529643443
main,14,"3,6,13",2.302324811498577,2.5645390833868515,0.7894026324670942,0.17414782315221058,0.32804589942625717,0.7178535268309146,0.7890651366857915,3.6557543030712116,0.9044709309554683,0.0001228067992311517,0.0008187119948743448
main,15,"3,6,13",2.2740330421364843,2.5832742483600586,0.778265271684104,0.18461019237259535,0.33277084036449545,0.7178535268309146,0.7762402969962875,3.608504893688829,0.8915395136508162,0.00011908389392193548,0.0007938926261462366
main,16,"3,6,13",2.2495910202990013,2.528241401220792,0.7816402294971313,0.17684778940263246,0.32602092473844074,0.7259534255821802,0.7806277421532231,3.6027674654066826,0.8896388795140061,0.00011518700962342472,0.0007679133974894982
main,17,"3,6,13",2.225025603271103,2.523558279005933,0.7890651366857915,0.18798515018562267,0.34390820114748566,0.7273034087073912,0.7890651366857915,3.5798177522780965,0.8833152743485443,0.00011113152555762863,0.0007408768370508576
main,18,"3,6,13",2.2045216724426258,2.5291051335564907,0.7806277421532231,0.1781977725278434,0.34762065474181575,0.7252784340195747,0.7779277759028013,3.570030374620317,0.8807751745208449,0.00010693344686738043,0.0007128896457825362
main,19,"3,6,13",2.190603259412974,2.4812172421160237,0.7934525818427269,0.19169760377995276,0.35167060411744855,0.7327033412082349,0.7900776240296996,3.5764427944650694,0.8830665932465318,0.00010260934145135084,0.0006840622763423389
main,20,"3,6,13",2.1673279886634864,2.4881158507518015,0.7900776240296996,0.18731015862301723,0.352345595680054,0.7354033074586568,0.7897401282483969,3.558893013837327,0.877169298541663,9.817627457812104e-05,0.0006545084971874735
main,21,"3,6,13",2.148263312256285,2.4835199419405263,0.7985150185622679,0.1849476881538981,0.36348295646304424,0.7364157948025649,0.7978400269996625,3.5420182247721903,0.8727640904488694,9.365174153736408e-05,0.0006243449435824271
main,22,"3,6,13",2.1358235849814995,2.488805884088651,0.7954775565305434,0.19001012487343907,0.3540330745865677,0.7350658116773541,0.7951400607492406,3.5774552818089775,0.8830133044389578,8.905359859392934e-05,0.0005936906572928622
main,23,"3,6,13",2.1200613575439267,2.4558039804668472,0.8002024974687817,0.1991225109686129,0.3655079311508606,0.7391157610529868,0.8012149848126898,3.548768140398245,0.8745048581629572,8.439999251732282e-05,0.000562666616782152
main,24,"3,6,13",2.1068714381779756,2.4648507553461716,0.7927775902801215,0.18663516706041175,0.36820789740128246,0.7374282821464732,0.7917651029362133,3.536955788052649,0.8712542409009362,7.97092889646985e-05,0.0005313952597646566
main,25,"3,6,13",2.091244275036566,2.4756749161907923,0.7951400607492406,0.18562267971650354,0.3617954775565305,0.7411407357408032,0.7964900438744515,3.5109686128923387,0.8637405190329857,7.5e-05,0.0004999999999999998
main,26,"3,6,13",2.0795600459935946,2.4630790330894565,0.7941275734053325,0.1903476206547418,0.3577455281808977,0.7377657779277759,0.7951400607492406,3.5322308471144113,0.8701529388777377,7.02907110353015e-05,0.00046860474023534314
main,27,"3,6,13",2.0699476007997735,2.4274011677356735,0.8032399595005062,0.20047249409382384,0.36719541005737427,0.746540668241647,0.8032399595005062,3.529530880863989,0.869371369699984,6.560000748267718e-05,0.00043733338321784774
main,28,"3,6,13",2.05848246326646,2.446090059589382,0.8029024637192035,0.18764765440431994,0.3604454944313196,0.7522780965237934,0.803577455281809,3.523118461019237,0.8669023216157166,6.094640140607065e-05,0.00040630934270713756
main,29,"3,6,13",2.046794801132831,2.4580998267026675,0.8029024637192035,0.20452244346945664,0.37529530880863987,0.7445156935538306,0.8022274721565981,3.509281133985825,0.8646464287617457,5.6348258462635886e-05,0.00037565505641757246
main,30,"3,6,13",2.0385620418718315,2.4480106099972323,0.7941275734053325,0.1960850489368883,0.37597030037124535,0.745190685116436,0.7941275734053325,3.520080998987513,0.8663161447324013,5.182372542187897e-05,0.00034549150281252633
main,31,"3,6,13",2.0309050475521997,2.4154574955954087,0.803577455281809,0.19878501518731015,0.373945325683429,0.7489031387107661,0.8022274721565981,3.5254809314883566,0.8682345418050694,4.739065854864918e-05,0.00031593772365766105
main,32,"3,6,13",2.0177248648157953,2.401787158568244,0.8039149510631117,0.20857239284508944,0.3813702328720891,0.7485656429294634,0.8032399595005062,3.5075936550793116,0.8634563120592572,4.306655313261955e-05,0.00028711035421746355
main,33,"3,6,13",2.014457900528539,2.4091602114057205,0.80863989200135,0.20283496456294298,0.38373270334120824,0.7492406344920689,0.80863989200135,3.51603104961188,0.8652858944526352,3.8868474442371344e-05,0.0002591231629491422
main,34,"3,6,13",2.0061198193298053,2.4029369569894956,0.8079649004387445,0.2031724603442457,0.38373270334120824,0.7543030712116099,0.8083023962200473,3.4934188322645965,0.8592642591967601,3.4812990376575235e-05,0.00023208660251050145
main,35,"3,6,13",2.000084703076636,2.4192810697890277,0.8069524130948363,0.2051974350320621,0.3847451906851164,0.756665541680729,0.8066149173135336,3.504218697266284,0.8619642254471819,3.0916106078064525e-05,0.00020610737385376337
main,36,"3,6,13",1.9939042209870066,2.398372791483722,0.8062774215322308,0.19979750253121836,0.38575767802902466,0.7563280458994263,0.8062774215322308,3.4809314883563958,0.8556583832175781,2.719320076884827e-05,0.00018128800512565502
main,37,"3,6,13",1.9903898708444407,2.417564735233965,0.8059399257509281,0.19136010799865003,0.373945325683429,0.7485656429294634,0.8056024299696254,3.52716841039487,0.8685365117146562,2.365896705534835e-05,0.00015772644703565555
main,38,"3,6,13",1.9831848597414112,2.3947123949325775,0.81235234559568,0.19541005737428283,0.39082011474856565,0.7522780965237934,0.8116773540330746,3.5167060411744853,0.8657832566566602,2.0327352943394153e-05,0.00013551568628929425
main,39,"3,6,13",1.9785179804601898,2.4005235400185407,0.8089773877826527,0.20249746878164024,0.3901451231859602,0.751603104961188,0.8079649004387445,3.5278434019574756,0.8690338739186813,1.7211506791815817e-05,0.00011474337861210535
main,40,"3,6,13",1.9752627557336442,2.3905274051691365,0.8106648666891664,0.19946000674991562,0.38272021599730005,0.7576780290246372,0.8106648666891664,3.510631117111036,0.8637582819688437,1.432372542187895e-05,9.549150281252626e-05
main,41,"3,6,13",1.9736881607693924,2.374511322498804,0.8160647991900101,0.20992237597030036,0.394195072561593,0.7570030374620317,0.8160647991900101,3.5065811677354035,0.8627635575607937,1.1675405587348887e-05,7.783603724899252e-05
main,42,"3,6,13",1.9687509898110835,2.3680669308271995,0.8147148160647992,0.20992237597030036,0.40398245021937224,0.7610529868376645,0.8143773202834964,3.499156260546743,0.8608806863598415,9.276998996710233e-06,6.184665997806817e-05
main,43,"3,6,13",1.9644639819671024,2.3918007506014245,0.8116773540330746,0.2051974350320621,0.39453256834289574,0.7529530880863989,0.809989875126561,3.5052311846101922,0.8627635575607937,7.13797106504855e-06,4.7586473766990294e-05
main,44,"3,6,13",1.962895355240253,2.387030623468482,0.8153898076274047,0.20553493081336482,0.38677016537293285,0.755315558555518,0.8147148160647992,3.4964562942963213,0.8604188500275326,5.26676355838115e-06,3.5111757055874305e-05
main,45,"3,6,13",1.9608650935925689,2.39544554803567,0.8140398245021937,0.20249746878164024,0.3820452244346946,0.7505906176172797,0.8133648329395883,3.5038812014849814,0.8614846261790148,3.670761277863486e-06,2.4471741852423218e-05
main,46,"3,6,13",1.9591076804155791,2.385972280217472,0.809989875126561,0.20857239284508944,0.3844076949038137,0.7603779952750591,0.8093148835639554,3.5048936888288895,0.8622839582926266,2.356262915352678e-06,1.5708419435684507e-05
main,47,"3,6,13",1.9610382712862642,2.4174938741423895,0.8062774215322308,0.19979750253121836,0.37867026662166725,0.7505906176172797,0.8052649341883227,3.4930813364832938,0.8586780823134447,1.328456195348346e-06,8.856374635655634e-06
main,48,"3,6,13",1.958677910242947,2.3963370724300495,0.8093148835639554,0.20249746878164024,0.38373270334120824,0.7573405332433345,0.80863989200135,3.5237934525818426,0.8676838907934703,5.913974014141676e-07,3.942649342761115e-06
main,49,"3,6,13",1.9607240086919782,2.364270021655533,0.8096523793452581,0.218022274721566,0.3972325345933176,0.7597030037124536,0.8089773877826527,3.5062436719541004,0.8626036911380712,1.4799536787963308e-07,9.866357858642198e-07
main,50,"3,6,13",1.956473422329128,2.3789089735480444,0.81235234559568,0.20924738440769491,0.38980762740465746,0.7556530543368208,0.8120148498143773,3.4964562942963213,0.8594596514911984,0.0,0.0
